Date,Quantity,Avg_UnitPrice,Avg_Discount,Year,Month,Day,DayOfWeek,DayOfYear,WeekOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd,DayName,MonthName,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,DayOfYear_Sin,DayOfYear_Cos,WeekOfYear_Sin,WeekOfYear_Cos,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_21,Lag_28,Lag_30,Lag_365,Rolling_3_Mean,Rolling_7_Mean,Rolling_14_Mean,Rolling_30_Mean,Rolling_90_Mean,Rolling_7_Std,Rolling_14_Std,Rolling_30_Std,Rolling_7_Min,Rolling_7_Max,Rolling_30_Min,Rolling_30_Max,Expanding_Mean,Expanding_Std,Expanding_Min,Expanding_Max,Diff_1,Diff_7,Diff_30,Pct_Change_1,Pct_Change_7,Trend
2020-01-01,46,281.5280769230769,5.739230769230769,2020,1,1,2,1,1,1,0,1,0,1,0,1,0,Wednesday,January,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.017213356155834685,0.9998518392091162,0.12053668025532305,0.992708874098054,,,,,,,,,,,,,,,,,,,,,,46.0,,46.0,46.0,,,,,,0
2020-01-02,58,134.24424242424243,8.776666666666667,2020,1,2,3,2,1,1,0,0,0,0,0,0,0,Thursday,January,0.43388373911755823,-0.900968867902419,0.0,1.0,0.03442161162274574,0.9994074007397048,0.12053668025532305,0.992708874098054,46.0,,,,,,,,,,,,,,,,,,,,,52.0,8.48528137423857,46.0,58.0,12.0,,,26.086956521739136,,1
2020-01-03,90,161.53479166666668,11.374375,2020,1,3,4,3,1,1,0,0,0,0,0,0,0,Friday,January,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.051619667223253764,0.998666816288476,0.12053668025532305,0.992708874098054,58.0,46.0,,,,,,,,64.66666666666667,,,,,,,,,,,,64.66666666666667,22.744962812309307,46.0,90.0,32.0,,,55.172413793103445,,2
2020-01-04,39,341.0978260869565,197.1460869565217,2020,1,4,5,4,1,1,1,0,0,0,0,0,0,Saturday,January,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.06880242680231986,0.9976303053065857,0.12053668025532305,0.992708874098054,90.0,58.0,46.0,,,,,,,62.333333333333336,,,,,,,,,,,,58.25,22.573952541221782,39.0,90.0,-51.0,,,-56.666666666666664,,3
2020-01-05,35,203.11625,18.047916666666666,2020,1,5,6,5,1,1,1,0,0,0,0,0,0,Sunday,January,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.08596479873744647,0.9962981749346078,0.12053668025532305,0.992708874098054,39.0,90.0,58.0,,,,,,,54.666666666666664,,,,,,,,,,,,53.6,22.142718893577637,35.0,90.0,-4.0,,,-10.256410256410254,,4
2020-01-06,46,193.00538461538463,8.857692307692307,2020,1,6,0,6,2,1,0,0,0,0,0,0,0,Monday,January,0.0,1.0,0.0,1.0,0.10310169744743485,0.9946708199115211,0.23931566428755774,0.970941817426052,35.0,39.0,90.0,,,,,,,40.0,,,,,,,,,,,,52.333333333333336,20.04661234888994,35.0,90.0,11.0,,,31.428571428571427,,5
2020-01-07,50,118.52967741935484,11.901935483870968,2020,1,7,1,7,2,1,0,0,0,0,0,0,0,Tuesday,January,0.7818314824680297,0.6234898018587336,0.0,1.0,0.1202080448993527,0.9927487224577402,0.23931566428755774,0.970941817426052,46.0,35.0,39.0,,,,,,,43.666666666666664,52.0,,,,18.321208111548394,,,35.0,90.0,,,52.0,18.321208111548394,35.0,90.0,4.0,,,8.695652173913038,,6
2020-01-08,67,133.0720512820513,44.21358974358974,2020,1,8,2,8,2,1,0,0,0,0,0,0,0,Wednesday,January,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.13727877211326478,0.9905324521322229,0.23931566428755774,0.970941817426052,50.0,46.0,35.0,46.0,,,,,,54.333333333333336,55.0,,,,18.88562063228706,,,35.0,90.0,,,53.875,17.771867817263487,35.0,90.0,17.0,21.0,,34.00000000000001,45.652173913043484,7
2020-01-09,56,222.03787878787878,94.7721212121212,2020,1,9,3,9,2,1,0,0,0,0,0,0,0,Thursday,January,0.43388373911755823,-0.900968867902419,0.0,1.0,0.15430882066428117,0.9880226656636976,0.23931566428755774,0.970941817426052,67.0,50.0,46.0,58.0,,,,,,57.666666666666664,54.714285714285715,,,,18.8477610139267,,,35.0,90.0,,,54.111111111111114,16.639143941654904,35.0,90.0,-11.0,-2.0,,-16.417910447761198,-3.4482758620689613,8
2020-01-10,65,185.274,64.56649999999999,2020,1,10,4,10,2,1,0,0,0,0,0,0,0,Friday,January,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.1712931441814776,0.9852201067560606,0.23931566428755774,0.970941817426052,56.0,67.0,50.0,90.0,,,,,,62.666666666666664,51.142857142857146,,,,12.266873704256945,,,35.0,67.0,,,55.2,16.060994849496577,35.0,90.0,9.0,-25.0,,16.07142857142858,-27.77777777777778,9
