ProductID,Initial_Stock,Current_Stock,Reorder_Level,Restock_Quantity,Stock_Status
PROD-6825,56,55,20,50,In Stock
PROD-1946,189,188,20,50,In Stock
PROD-1592,179,179,20,50,In Stock
PROD-6981,47,46,5,20,In Stock
PROD-9521,359,358,50,200,In Stock
PROD-3767,141,140,20,50,In Stock
PROD-2277,146,140,20,50,In Stock
PROD-6539,67,64,20,50,In Stock
PROD-9693,147,146,20,50,In Stock
PROD-6643,118,117,20,50,In Stock
PROD-3268,147,146,20,50,In Stock
PROD-4990,64,61,20,50,In Stock
PROD-3383,195,193,20,50,In Stock
PROD-8562,342,341,50,200,In Stock
PROD-6065,152,151,20,50,In Stock
PROD-4985,62,61,20,50,In Stock
PROD-6193,148,147,20,50,In Stock
PROD-8070,52,50,20,50,In Stock
PROD-9431,161,158,20,50,In Stock
PROD-3126,95,94,20,50,In Stock
PROD-3983,91,90,20,50,In Stock
PROD-3248,514,513,50,200,In Stock
PROD-1020,67,67,20,50,In Stock
PROD-1054,158,153,20,50,In Stock
PROD-6940,152,150,20,50,In Stock
PROD-3506,66,65,20,50,In Stock
PROD-5544,50,47,5,20,In Stock
PROD-1974,121,120,20,50,In Stock
PROD-1064,171,168,20,50,In Stock
PROD-8870,620,619,50,200,In Stock
PROD-8052,136,135,20,50,In Stock
PROD-5438,21,19,5,20,In Stock
PROD-3291,188,187,20,50,In Stock
PROD-3597,104,98,20,50,In Stock
PROD-7434,117,116,20,50,In Stock
PROD-8652,125,124,20,50,In Stock
PROD-5515,64,63,20,50,In Stock
PROD-9208,180,176,20,50,In Stock
PROD-4747,110,109,20,50,In Stock
PROD-6619,157,156,20,50,In Stock
PROD-7474,151,150,20,50,In Stock
PROD-7061,14,11,5,20,In Stock
PROD-5810,179,178,20,50,In Stock
PROD-5100,20,17,5,20,In Stock
PROD-7127,191,190,20,50,In Stock
PROD-9348,77,76,20,50,In Stock
PROD-3206,117,116,20,50,In Stock
PROD-8921,12,11,5,20,In Stock
PROD-1171,652,651,50,200,In Stock
PROD-2153,144,143,20,50,In Stock
PROD-5966,60,58,20,50,In Stock
PROD-4601,193,191,20,50,In Stock
PROD-1570,95,91,20,50,In Stock
PROD-1039,918,916,50,200,In Stock
PROD-8754,167,166,20,50,In Stock
PROD-5866,152,151,20,50,In Stock
PROD-3415,152,149,20,50,In Stock
PROD-5672,117,116,20,50,In Stock
PROD-1116,42,41,5,20,In Stock
PROD-8419,161,160,20,50,In Stock
PROD-7592,67,64,20,50,In Stock
PROD-7861,154,151,20,50,In Stock
PROD-6535,147,142,20,50,In Stock
PROD-2767,103,101,20,50,In Stock
PROD-4627,163,162,20,50,In Stock
PROD-3317,879,879,50,200,In Stock
PROD-3770,100,94,20,50,In Stock
PROD-8162,50,50,5,20,In Stock
PROD-3820,51,50,20,50,In Stock
PROD-1992,113,112,20,50,In Stock
PROD-7097,163,161,20,50,In Stock
PROD-7948,686,685,50,200,In Stock
PROD-9383,43,38,5,20,In Stock
PROD-2217,440,439,50,200,In Stock
PROD-3774,592,590,50,200,In Stock
PROD-5232,39,38,5,20,In Stock
PROD-8925,197,196,20,50,In Stock
PROD-7859,157,156,20,50,In Stock
PROD-9225,136,135,20,50,In Stock
PROD-8650,194,189,20,50,In Stock
PROD-4465,116,115,20,50,In Stock
PROD-9154,34,33,5,20,In Stock
PROD-6895,188,185,20,50,In Stock
PROD-8941,60,59,20,50,In Stock
PROD-3907,171,170,20,50,In Stock
PROD-6324,92,91,20,50,In Stock
PROD-8676,129,128,20,50,In Stock
PROD-6718,112,111,20,50,In Stock
PROD-2328,194,193,20,50,In Stock
PROD-7161,137,136,20,50,In Stock
PROD-5765,167,166,20,50,In Stock
PROD-2271,751,750,50,200,In Stock
PROD-9068,25,23,5,20,In Stock
PROD-6621,147,144,20,50,In Stock
PROD-8088,116,113,20,50,In Stock
PROD-2845,182,180,20,50,In Stock
PROD-7508,175,174,20,50,In Stock
PROD-3402,112,111,20,50,In Stock
PROD-9740,190,188,20,50,In Stock
PROD-4040,80,77,20,50,In Stock
PROD-4771,173,172,20,50,In Stock
PROD-6180,99,97,20,50,In Stock
PROD-1291,82,81,20,50,In Stock
PROD-9262,82,81,20,50,In Stock
PROD-2658,162,161,20,50,In Stock
PROD-7234,66,64,20,50,In Stock
PROD-7646,776,773,50,200,In Stock
PROD-5800,49,47,5,20,In Stock
PROD-5863,47,46,5,20,In Stock
PROD-3970,103,100,20,50,In Stock
PROD-2978,69,66,20,50,In Stock
PROD-1532,109,107,20,50,In Stock
PROD-4992,117,116,20,50,In Stock
PROD-6522,345,343,50,200,In Stock
PROD-9959,169,168,20,50,In Stock
PROD-3288,48,47,5,20,In Stock
PROD-2210,108,107,20,50,In Stock
PROD-5869,379,378,50,200,In Stock
PROD-9776,161,159,20,50,In Stock
PROD-6363,16,15,5,20,In Stock
PROD-6415,152,150,20,50,In Stock
PROD-6928,153,152,20,50,In Stock
PROD-6368,182,181,20,50,In Stock
PROD-3868,102,101,20,50,In Stock
PROD-5888,111,106,20,50,In Stock
