ProductID,ProductName,Category,Brand,Cost_Price
PROD-6825,Samsung Galaxy S23,Electronics,Samsung,648.8
PROD-1946,Steelcase Series 1 Chair,Office Products,Steelcase,381.01
PROD-1592,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,35.07
PROD-6981,DEWALT 20V Max Cordless Drill,Tools & Home Improvement,DEWALT,119.76
PROD-9521,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,24.16
PROD-3767,Peloton Bike+,Sports & Fitness,Peloton,2043.81
PROD-2277,Calvin Klein Cotton Classics Boxer Briefs,Clothing & Fashion,Calvin Klein,19.68
PROD-6539,CeraVe Hydrating Facial Cleanser,Health & Personal Care,CeraVe,11.01
PROD-9693,Waterpik Aquarius Water Flosser,Health & Personal Care,Waterpik,51.97
PROD-6643,The Seven Husbands of Evelyn Hugo,Books & Media,Taylor Jenkins Reid,11.6
PROD-3268,Ring Video Doorbell,Electronics,Amazon,176.1
PROD-4990,Quest Nutrition High Protein Bars,Health & Personal Care,Quest,18.64
PROD-3383,TRX All-in-One Suspension Trainer,Sports & Fitness,TRX,165.95
PROD-8562,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,24.31
PROD-6065,Dune,Books & Media,Frank Herbert,7.02
PROD-4985,HP OfficeJet Pro 8025e,Office Products,HP,153.47
PROD-6193,Quest Nutrition High Protein Bars,Health & Personal Care,Quest,19.87
PROD-8070,Becoming,Books & Media,Michelle Obama,14.22
PROD-9431,Dell XPS 13 Laptop,Electronics,Dell,1111.11
PROD-3126,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,302.79
PROD-3983,Project Hail Mary,Books & Media,Andy Weir,14.83
PROD-3248,Tostitos Scoops Tortilla Chips,Grocery & Gourmet Food,Tostitos,4.73
PROD-1020,CeraVe Hydrating Facial Cleanser,Health & Personal Care,CeraVe,11.53
PROD-1054,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,97.29
PROD-6940,CeraVe Hydrating Facial Cleanser,Health & Personal Care,CeraVe,10.62
PROD-3506,The Seven Husbands of Evelyn Hugo,Books & Media,Taylor Jenkins Reid,11.88
PROD-5544,Black+Decker 20V Max Pivot Vac,Tools & Home Improvement,Black+Decker,63.36
PROD-1974,Steelcase Series 1 Chair,Office Products,Steelcase,399.49
PROD-1064,Logitech C920x HD Pro Webcam,Office Products,Logitech,56.69
PROD-8870,Clif Bar Energy Bars 12-Pack,Grocery & Gourmet Food,Clif Bar,14.74
PROD-8052,Vital Proteins Collagen Peptides,Health & Personal Care,Vital Proteins,23.2
PROD-5438,Black+Decker 20V Max Pivot Vac,Tools & Home Improvement,Black+Decker,59.71
PROD-3291,Cards Against Humanity,Toys & Games,Cards Against Humanity,25.0
PROD-3597,Theragun Pro G4,Sports & Fitness,Therabody,464.25
